date,Bitcoin Price (US$),Bitcoin Daily Change (US$),Litecoin Price (US$),Litecoin Daily Change (US$),Ethereum Price (US$),Ethereum Daily Change (US$),Bitcoin Trend Metric,Litecoin Trend Metric,Ethereum Trend Metric,Facebook Libra Trend Metric,Cryptocurrency Trend Metric
2018-12-16,3195.4145550000003,10.340511000000333,25.24431709,1.8178763799999977,83.78539188,0.9552016400000127,12.0,0.0,1.0,0.0,1.0
2018-12-23,3942.666996,-22.279119999999693,33.15381352,1.7450226499999992,129.69379540000003,14.463479500000034,10.0,0.0,1.0,0.0,1.0
2018-12-30,3825.4074630000005,2.2691370000006827,31.53119276,-0.13119005000000072,138.40171619999998,-1.6970822000000396,9.0,0.0,1.0,0.0,1.0
2019-01-06,4045.993775,247.3798200000001,38.99218649,4.555784700000004,155.94028319999998,1.6385262999999668,9.0,0.0,1.0,0.0,1.0
2019-01-13,3508.670108,-108.35197000000016,29.78216777,-2.204525350000001,115.33989540000002,-8.989415199999968,8.0,0.0,1.0,0.0,1.0
2019-01-20,3538.3137229999998,-148.98823800000036,30.62866047,-1.5939766099999986,117.5152317,-5.972759499999995,7.0,0.0,1.0,0.0,1.0
2019-01-27,3537.6141310000003,-19.425783999999567,32.17680728,-0.5842961199999976,111.82207690000001,-3.2179630999999773,8.0,0.0,1.0,0.0,1.0
2019-02-03,3413.0216159999995,-48.91350100000045,33.09214821,-0.9370989499999993,106.0217227,-2.5494091000000054,8.0,0.0,1.0,0.0,1.0
2019-02-10,3642.0223590000005,20.75423800000044,46.41702926,2.3035445699999997,123.5778682,5.473904699999991,7.0,0.0,1.0,0.0,1.0
2019-02-17,3622.757429,38.02142599999979,43.38500797,0.2279218499999942,132.8064901,11.001608999999988,9.0,0.0,1.0,0.0,1.0
2019-02-24,3754.18379,-355.96733099999983,44.06331901,-7.208758769999996,135.3831289,-22.147371099999987,8.0,0.0,1.0,0.0,1.0
2019-03-03,3782.38187,-27.261520999999448,47.42189877,-0.8927482299999951,129.6457838,-2.551513700000015,7.0,0.0,1.0,0.0,1.0
2019-03-10,3903.9119509999996,-6.449216000000433,56.56063074,-0.6472170300000002,135.2256631,-1.0712977000000024,7.0,0.0,1.0,0.0,1.0
2019-03-17,3967.143494,-22.652583000000504,60.26405662,-0.6506980700000042,138.1430523,-2.4858252999999877,7.0,0.0,1.0,0.0,1.0
2019-03-24,3970.6669880000004,-11.109044999999242,59.46990931,-1.027592630000001,135.4194404,-1.0556001999999864,7.0,0.0,1.0,0.0,1.0
2019-03-31,4094.317815,2.4267769999996744,60.35095478,0.11887396000000194,141.2767852,-0.8309599999999762,12.0,1.0,1.0,0.0,1.0
2019-04-07,5189.111956000001,144.75511000000097,91.81314807,-0.732347500000003,174.4636596,9.054864699999996,10.0,1.0,1.0,0.0,1.0
2019-04-14,5156.804040999999,82.0133479999995,83.06013164,4.94919471,168.0130991,3.8844397999999956,9.0,0.0,1.0,0.0,1.0
2019-04-21,5295.733828,-18.239433999999164,77.08606763,-4.489808789999998,169.9456011,-3.2697683000000097,10.0,0.0,1.0,0.0,1.0
2019-04-28,5148.669615,-33.13814900000034,67.69360338,-2.9336901700000055,153.2518472,-2.4748863000000085,9.0,0.0,1.0,0.0,1.0
2019-05-05,5728.351702,-46.360727000000225,75.06164418,-1.9959830899999957,161.48559640000002,-0.5516693999999802,12.0,0.0,1.0,0.0,1.0
2019-05-12,6942.623175,-382.4596849999998,84.45529408,-8.128298630000003,187.18410369999998,-12.422410900000017,19.0,1.0,1.0,0.0,1.0
2019-05-19,8219.742787000001,941.7552240000014,95.84352498,8.906332199999994,261.9740453,27.132765600000027,14.0,1.0,1.0,0.0,1.0
2019-05-26,8731.524956000001,669.9331950000014,112.41617179999999,9.65284459999998,268.29433959999994,16.405878599999966,15.0,1.0,1.0,0.0,1.0
2019-06-02,8744.353745,189.5464150000007,114.77430490000002,2.063664200000005,269.9670415,4.8268970999999965,12.0,1.0,1.0,0.0,1.0
2019-06-09,7634.065751,-305.7394039999999,114.72120759999999,-3.9241347000000104,231.03957799999998,-13.586892200000023,11.0,1.0,1.0,0.0,1.0
2019-06-16,9019.517006999999,168.93219099999806,136.867408,-1.2925476999999717,269.8485187,0.7913313000000244,17.0,1.0,1.0,1.0,2.0
2019-06-23,10794.4277,109.13247000000047,136.32397780000002,-4.7893313999999805,306.55350739999994,-1.4562623000000485,26.0,1.0,2.0,0.0,1.0
2019-06-30,10842.61671,-1101.7348399999992,121.96481840000001,-11.8887589,291.6606963,-26.869091800000035,18.0,1.0,1.0,0.0,1.0
2019-07-07,11456.1836,247.95800000000054,119.9894659,1.8472597000000093,306.19859060000005,18.92446060000009,17.0,1.0,2.0,0.0,1.0
2019-07-14,10283.07579,-1063.7613599999986,90.01641661,-10.891156190000004,230.33597630000003,-38.352652999999975,16.0,1.0,3.0,0.0,1.0
2019-07-21,10589.70649,-272.9420599999994,99.74053997,-1.721635930000005,225.67206710000002,-4.999986599999971,13.0,0.0,1.0,0.0,1.0
2019-07-28,9529.788792,83.11673999999948,89.66229546,1.1164194299999934,210.9275406,4.281775600000003,13.0,1.0,1.0,0.0,1.0
2019-08-04,10986.50893,176.08726000000024,93.08305308,-1.0062241899999975,222.7885219,0.9532054000000016,15.0,1.0,1.0,0.0,1.0
2019-08-11,11530.195240000001,226.46468000000095,89.79069621,4.409068119999986,215.7897347,9.465355399999993,13.0,0.0,1.0,0.0,1.0
2019-08-18,10331.30998,124.15442000000075,76.42116423,3.7127423900000025,194.7061621,9.158495600000009,12.0,0.0,1.0,0.0,1.0
2019-08-25,10100.35678,-46.73036999999931,72.2755486,-1.0952019600000114,186.3244889,-4.789862400000004,11.0,0.0,1.0,0.0,1.0
2019-09-01,9762.936556999999,157.91209600000002,66.29711400000001,1.9201665500000047,171.2114805,-0.9661294000000282,12.0,0.0,1.0,0.0,1.0
2019-09-08,10407.26566,-87.24129999999968,70.66760678,1.8233978699999938,181.60464030000003,3.317145900000014,10.0,0.0,1.0,0.0,1.0
2019-09-15,10306.169670000001,-57.283229999999094,70.13739928,-0.5553724500000072,189.44360840000002,0.8476579000000299,9.0,0.0,1.0,0.0,1.0
2019-09-22,10047.01347,60.60736200000065,72.42025542,-0.7603294199999908,211.0518019,-4.448227900000006,13.0,0.0,1.0,0.0,1.0
2019-09-29,8064.508062000001,-137.47095099999933,54.00114433,-1.3386710599999958,169.85333490000002,-3.94554549999998,10.0,0.0,1.0,0.0,1.0
2019-10-06,7854.609812999999,-287.0239010000014,54.52183947,-2.26464421,169.85495419999998,-6.3298591000000215,10.0,0.0,1.0,0.0,1.0
2019-10-13,8291.250651,-32.49949299999935,56.5329196,0.7102994099999975,181.4745976,1.1547926000000075,9.0,0.0,1.0,0.0,1.0
2019-10-20,8213.709039,265.23170199999913,54.86168423,1.1185511300000002,175.1878466,3.574713900000006,11.0,0.0,1.0,0.0,1.0
2019-10-27,9558.156044,308.5092829999994,59.83275209,2.869155450000001,184.5724846,4.8518823,11.0,0.0,1.0,0.0,1.0
2019-11-03,9209.638696,-90.55214199999864,58.47328296,0.12891559999999913,181.9070137,-1.0917551000000287,9.0,0.0,1.0,0.0,1.0
2019-11-10,9042.890723,232.1061609999997,63.65697994,1.490605709999997,189.04510469999997,4.082524899999953,9.0,0.0,1.0,0.0,1.0
